string_id	ENGLISH	FR	ITALIAN	GERMAN	SPANISH	RUSSIAN	PORTUGUESE	KOREAN	CHINESE - SIMPLIFIED	CHINESE - TRADITIONAL	JAPANESE	ARABIC	THAI
language_name	English	Français	Italiano	Deutsch	Español	русский язык	Português do Brasil	한국어	简体中文	簡體中文	日本語	عَرَبِيّ	ภาษาไทย
													
ui_diff_0	Easy	Facile	Facile	Einfach	Fácil	Легко	Fácil	쉬움	简单	容易	簡単	سهل	ง่าย
ui_diff_1	Medium	Moyen	Medio	Mittel	Medio	Средне	Intermediário	보통	中等	中等	中	متوسط	ปานกลาง
ui_diff_2	Hard	Difficile	Difficile	Festplatte	Difícil	Сложно	Difícil	어려움	困难	高級	難しい	صعب	ยาก
ui_complete_quests	Complete Quests to Unlock!	Complète les quêtes pour débloquer !	Completa le Missioni per Sbloccare!	Quests zu entsperren!	¡Completa la Misión para Desbloquear!	Завершить квесты для разблокировки!	Complete as missõespara desbloquear!	열기 위해 퀘스트를 완료 하세요!	完成任务解锁	完成任務解鎖	ロックを解除するための完全なクエスト！	انهي المهام لانهاء القفل	ทำเควสเพื่อปลดล็อค
ui_connect_wifi_header	Error.	Erreur.	Errore	Fehler.	Error.	Ошибка	Erro	오류.	错误	錯誤	エラー。	خطأ	ข้อผิดพลาด
ui_connect_wifi_body	Unable to connect to store. Please check your internet connection and try again.	Impossible de se connecter au magasin. S'il vous plaît, vérifiez votre connexion à l'Internet et réessayez.	Impossibile connettersi allo store. Controlla la tua connessione ad internet	Es konnte keine Verbindung zu speichern. Überprüfen Sie Ihre Internetverbindung, und versuchen Sie es erneut.	Incapaz de conectarse a la tienda. Favor de revisar tu conexión de internet e intentar de nuevo.	Невозможно подключиться к магазину. Пожалуйста, проверьте Ваше соединение с интернетом и попробуйте еще раз.	Tentiva de se conectar a loja sem sucesso. Por favor, verifique sua conexão com a internet e tente novamente.	인터넷을 연결 하고 다시 시도 하세요.	无法连接至商店，请确认你的网络连接	無法鏈接， 請察看你的	ストアに接続できません。 インターネット接続を確認して、もう一度お試しください。	غير قادر على الوصول للمتجر.تحقق من الاتصال بالانترنت واعد المحاولة	ไม่สามารถเชื่อมต่อกับสโตร์ได้ โปรดตรวจสอบสถานะอินเทอร์เน็ตของคุณ แล้วลองใหม่
ui_yes	Yes	Oui	Si	Ja	Si	Да	Sim	네	是	是	はい	نعم	ใช่
ui_no	No	Non	No	Keine	No	Нет	Não	아니오	否	不是	いいえ	لا	ไม่ใช่
ui_ok	OK	D'accord	OK	OK	OK	Хорошо	OK	알겠습니다	好的	可以	[OK]	موافق	โอเค
ui_warning	Warning	Attention	Pericoli	Warnung	Advertencia	Предупреждение	Atenção	경고	警告	警告	警告	تحذير	คำเตือน
ui_lose_progress	All progress will be lost, do you wish to continue?	Tous les progrès seront perdus, souhaitez-vous continuer	Tutti i progressi verranno persi, vuoi continuare	Alle Fortschritte verloren, wollen Sie fortfahren	Todo el progreso se prederá, ¿Desea continuar?	Все достижения будут утеряны, хотите продолжить?	Todo progresso será perdido, deseja continuar?	모든 데이터가 없어집니다, 계속 하시겠습니까?	所有进度都将丢失，是否继续？	所有進展將遺失， 是否要	すべての進捗状況が失われます。続行しますか？	ستفقد ما حققت, الاستمرار ؟	ความคืบหน้าจะสูญหาย ต้องการไปต่อหรือไม่
ui_resume	Resume game?	Reprise du jeu?	Riprendi il gioco?	Spiel fortsetzen?	¿Reanudar el Juego?	Продолжить игру?	Continuar o jogo?	다시 시작하겠습니까?	继续游戏	恢復遊戲?	ゲームを再開しますか？	استمرار اللعب	กลับสู่เกม?
ui_resume_pause	Resume game	Reprise du jeu	Riprendi il gioco	Spiel fortsetzen	Reanudar el Juego	Продолжить игру	Continuar o jogo	다시 시작하겠습니까	继续游戏	恢復遊戲	ゲームを再開しますか	استمرار اللعب	กลับสู่เกม
